春はあけぼの。	はるはあけぼの。
やうやう白くなりゆく山ぎは、少し明りて	ようようしろくなりゆくやまぎわ、すこしあかりて
紫だちたる雲の細くたなびきたる。	むらさきだちたるくものほそくたなびきたる。
夏は夜。	なつはよる。
月の頃はさらなり。	つきのころはさらなり。
闇もなほ、螢の多く飛び違ひたる。	やみもなお、ほたるのおおくとびちがいたる。
また、ただ一つ二つなど、	また、ただひとつふたつなど、
ほのかにうち光りて行くもをかし。	ほのかにうちひかりてゆくもおかし。
雨など降るもをかし。	あめなどふるもおかし。
秋は夕暮。	あきはゆうぐれ。
夕日のさして、山の端いと近うなりたるに、	ゆうひのさして、やまのはいとちこうなりたるに、
烏の寝どころへ行くとて、三つ四つ、	からすのねどころへゆくとて、みつよつ、
二つ三つなど、飛び急ぐさへあはれなり。	ふたつみつなど、とびいそぐさえあわれなり。
まいて雁などの列ねたるが、	まいてかりなどのつらねたるが、
いと小さく見ゆるは、いとをかし。	いとちいさくみゆるは、いとおかし。
日入り果てて、風の音、虫の音など、	ひいりはてて、かぜのおと、むしのねなど、
はたいふべきにあらず。	はたいうべきにあらず。
冬はつとめて。	ふゆはつとめて。
雪の降りたるはいふべきにもあらず。	ゆきのふりたるはいうべきにもあらず。
霜のいと白きも、またさらでも、	しものいとしろきも、またさらでも、
いと寒きに、火など急ぎ熾して、	いとさむきに、ひなどいそぎおこして、
炭もて渡るも、いとつきづきし。	すみもてわたるも、いとつきづきし。
昼になりて、ぬるくゆるびもていけば、	ひるになりて、ぬるくゆるびもていけば、
火桶の火も、白き灰がちになりて、わろし。	ひおけのひも、しろきはいがちになりて、わろし。