雨にもまけず	あめにもまけず
風にもまけず	かぜにもまけず
雪にも夏の暑さにもまけぬ	ゆきにもなつのあつさにもまけぬ
丈夫なからだをもち	じょうぶなからだをもち
慾はなく	よくはなく
決して瞋らず	けっしていからず
いつもしずかにわらっている	いつもしずかにわらっている
一日に玄米四合と	いちにちにげんまいよんごうと
味噌と少しの野菜をたべ	みそとすこしのやさいをたべ
あらゆることを	あらゆることを
じぶんをかんじょうに入れずに	じぶんをかんじょうにいれずに
よくみきききしわかり	よくみききしわかり
そしてわすれず	そしてわすれず
野原の松の林の䕃の	のはらのまつのはやしのかげの
小さな萱ぶきの小屋にいて	ちいさなかやぶきのこやにいて
東に病氣のこどもあれば	ひがしにびょうきのこどもあれば
行って看病してやり	いってかんびょうしてやり
西につかれた母あれば	にしにつかれたははあれば
行ってその稻の束を負い	いってそのいねのたばをおい
南に死にそうな人あれば	みなみにしにそうなひとあれば
行ってこわがらなくてもいいといい	いってこわがらなくてもいいといい
北にけんかやそしょうがあれば	きたにけんかやそしょうがあれば
つまらないからやめろといい	つまらないからやめろといい
ひでりのときはなみだをながし	ひでりのときはなみだをながし
さむさのなつはおろおろあるき	さむさのなつはおろおろあるき
みんなにでくのぼうとよばれ	みんなにでくのぼうとよばれ
ほめられもせず	ほめられず
くにもされず	くにもされず
そういうものに	そういうものに
わたしはなりたい	わたしはなりたい