第38条 部活動はその目的を達成するため	ぶかつどうはそのもくてきをたっせいするため
次の各部活動を置く。	つぎのかくぶかつどうをおく。
(1) 総務部関係	そうむぶかんけい
新聞、放送、吹奏楽	しんぶん、ほうそう、すいそうがく
(2) 文化部関係	ぶんかぶかんけい
サイエンス、地学、ギター、音楽、書道、	サイエンス、ちがく、ギター、おんがく、しょどう、
食物、国語文芸、英語、美術、	しょくもつ、こくごぶんげい、えいご、びじゅつ、
郷土、写真、演劇、茶道、華道、	きょうど、しゃしん、えんげき、さどう、かどう、
コンピュータ、囲碁将棋、ダンス、和太鼓	コンピュータ、いごしょうぎ、ダンス、わだいこ
(3) 体育部関係	たいいくぶかんけい
陸上競技、バレーボール、卓球、	りくじょうきょうぎ、バレーボール、たっきゅう、
ソフトボール、ソフトテニス、野球、サッカー、	ソフトボール、ソフトテニス、やきゅう、サッカー、
バスケットボール、柔道、水泳、	バスケットボール、じゅうどう、すいえい、
剣道、野外活動	けんどう、やがいかつどう
(4) 同好会	どうこうかい
ボランティア
第39条 生徒会は上の各部の運営のために	せいとかいはうえのかくぶのうんえいのために
次の役員を置く。	つぎのやくいんをおく。
総務部代表（生徒会長）	そうむぶだいひょう（せいとかいちょう）
副代表（生徒会庶務）	ふくだいひょう（せいとかいしょむ）
文化部代表（生徒会副会長1名）	ぶんかぶだいひょう（せいとかいふくかいちょう1めい）
副代表（各総務及び文化部部長	ふくだいひょう（かくそうむおよびぶんかぶぶちょう
中から互選した1名、執行部から1名）	ちゅうからごせんした1めい、しっこうぶから1めい）
体育部代表（生徒会副会長1名）	たいいくぶだいひょう（せいとかいふくかいちょう1めい）
副代表（各体育部主将中から	ふくだいひょう（かくたいいくぶしゅしょうちゅうから
互選した1名、執行部から1名）	ごせんした1めい、しっこうぶから1めい）
総務部、文化部、体育部の	そうむぶ、ぶんかぶ、たいいくぶの
各部ごとに委員3名を置く。	かくぶごとにいいん3めいをおく。
（総務及び文化部はその委員を	（そうむおよびぶんかぶはそのいいんを
部長、庶務、会計とし、	ぶちょう、しょむ、かいけいとし、
体育部は主将、副主将、会計とする）	たいいくぶはしゅしょう、ふくしゅしょう、かいけいとする）
付則	ふそく
第40条 本会の運営については別にこれを定める。	ほんかいのうんえいについてはべつにこれをさだめる。
第41条 この会則は平成19年4月1日から	このかいそくはへいせい19ねん4がつ1にちから
実施する。	じっしする。