雨ニモマケズ	あめにもまけず
風ニモマケズ	かぜにもまけず
雪ニモ夏ノ暑サニモマケヌ	ゆきにもなつのあつさにもまけぬ
丈夫ナカラダヲモチ	じょうぶなからだをもち
慾ハナク	よくはなく
決シテ瞋ラズ	けっしていからず
イツモシヅカニワラッテヰル	いつもしずかにわらっている
一日ニ玄米四合ト	いちにちにげんまいよんごうと
味噌ト少シノ野菜ヲタベ	みそとすこしのやさいをたべ
アラユルコトヲ	あらゆることを
ジブンヲカンジョウニ入レズニ	じぶんをかんじょうにいれずに
ヨクミキキシワカリ	よくみききしわかり
ソシテワスレズ	そしてわすれず
野原ノ松ノ林ノ䕃ノ	のはらのまつのはやしのかげの
小サナ萓ブキノ小屋ニヰテ	ちいさなかやぶきのこやにいて
東ニ病気ノコドモアレバ	ひがしにびょうきのこどもあれば
行ッテ看病シテヤリ	いってかんびょうしてやり
西ニツカレタ母アレバ	にしにつかれたははあれば
行ッテソノ稲ノ朿ヲ負ヒ	いってそのいねのたばをおい
南ニ死ニサウナ人アレバ	みなみにしにそうなひとあれば
行ッテコハガラナクテモイヽトイヒ	いってこわがらなくてもいいといい
北ニケンクヮヤソショウガアレバ	きたにけんかやそしょうがあれば
ツマラナイカラヤメロトイヒ	つまらないからやめろといい
ヒドリノトキハナミダヲナガシ	ひでりのときはなみだをながし
サムサノナツハオロオロアルキ	さむさのなつはおろおろあるき
ミンナニデクノボートヨバレ	みんなにでくのぼうとよばれ
ホメラレモセズ	ほめられもせず
クニモサレズ	くにもされず
サウイフモノニ	そういうものに
ワタシハナリタイ	わたしはなりたい