類は友を呼ぶ	Birds of a feather flock together.
ペンは剣よりも強し	The pen is mightier than the sword.
弘法筆を選ばず	The cunning mason works with any stone.
光陰矢の如し	Time flies like an arrow.
笑う門には福来る	Fortune comes in at the merry gate.
悪事千里を走る	Bad news travels fast.
嘘つきは泥棒の始まり	He that will lie will steal.
悪銭身につかず	Ill got, ill spent.
腹八分目に医者いらず	Feed by measure and defy the physician.
終わり良ければ全てよし	All is well that ends well.
時は金なり	Time is money.
金は天下の回り物	Money comes and goes.
覆水盆に返らず	It is no use crying over spilt milk.
早起きは三文の徳	The early bird catches the worm.
ローマは一日にして成らず	Rome was not built in a day.
事実は小説よりも奇なり	Fact is stranger than fiction.
住めば都	Home is where you make it.
失敗は成功のもと	Failure teaches success.
百聞は一見に如かず	Seeing is believing.
継続は力なり	Practice makes perfect.
壁に耳あり	Wall has ears.
鉄は熱いうちに打て	Strike while the iron is hot.
郷に入っては郷に従え	When in Rome, do as the Romans do.
猿も木から落ちる	Anybody can make a mistake.
泣きっ面に蜂	To add insult to injury.