アゼルバイジャン	あぜるばいじゃん
アフガニスタン	あふがにすたん
アラブ首長国連邦	あらぶしゅちょうこくれんぽう
アルメニア	あるめにあ
イエメン	いえめん
イスラエル	いすらえる
イラク	いらく
イラン	いらん
インド	いんど
インドネシア	いんどねしあ
ウズベキスタン	うずべきすたん
オマーン	おまーん
カザフスタン	かざふすたん
カタール	かたーる
カンボジア	かんぼじあ
北朝鮮	きたちょうせん
キプロス	きぷろす
キルギス	きるぎす
クウェート	くうぇーと
サウジアラビア	さうじあらびあ
ジョージア	じょーじあ
シリア	しりあ
シンガポール	しんがぽーる
スリランカ	すりらんか
タイ	たい
大韓民国	だいかんみんこく
タジキスタン	たじきすたん
中華人民共和国	ちゅうかじんみんきょうわこく
トルクメニスタン	とるくめにすたん
日本	にほん
ネパール	ねぱーる
パキスタン	ぱきすたん
バーレーン	ばーれーん
バングラディシュ	ばんぐらでぃしゅ
東ティモール	ひがしてぃもーる
フィリピン	ふぃりぴん
ブータン	ぶーたん
ブルネイ	ぶるねい
ベトナム	べとなむ
マレーシア	まれーしあ
ミャンマー	みゃんまー
モルディブ	もるでぃぶ
モンゴル	もんごる
ヨルダン	よるだん
ラオス	らおす
レバノン	ればのん