4 Be	ベリリウム
21 Sc	スカンジウム
34 Se	セレン
36 Kr	クリプトン
37 Rb	ルビジウム
38 Sr	ストロンチウム
39 Y	イットリウム
40 Zr	ジルコニウム
41 Nb	ニオブ
43 Tc	テクネチウム
44 Ru	ルテニウム
49 In	インジウム
51 Sb	アンチモン
52 Te	テルル
57 La	ランタン
58 Ce	セリウム
59 Pr	プラセオジム
61 Pm	プロメチウム
62 Sm	サマリウム
63 Eu	ユウロピウム
64 Gd	ガドリニウム
65 Tb	テルビウム
66 Dy	ジスプロシウム
67 Ho	ホルミウム
68 Er	エルビウム
69 Tm	ツリウム
70 Yb	イッテルビウム
71 Lu	ルテチウム
72 Hf	ハフニウム
73 Ta	タンタル
75 Re	レニウム
76 Os	オスミウム
81 Tl	タリウム
83 Bi	ビスマス
84 Po	ポロニウム
85 At	アスタチン
86 Rn	ラドン
87 Fr	フランシウム
88 Ra	ラジウム
89 Ac	アクチニウム
90 Th	トリウム
91 Pa	プロトアクチニウム
93 Np	ネプツニウム
95 Am	アメリシウム
96 Cm	キュリウム
97 Bk	バークリウム
98 Cf	カリホルニウム
99 Es	アインスタイニウム
100 Fm	フェルミウム
101 Md	メンデレビウム
102 No	ノーベリウム
103 Lr	ローレンシウム
104 Rf	ラザホージウム
105 Db	ドブニウム
106 Sg	シーボーギウム
107 Bh	ボーリウム
108 Hs	ハッシウム
109 Mt	マイトネリウム
110 Ds	ダームスタチウム
111 Rg	レントゲニウム
112 Cn	コペルニシウム
114 Fl	フレロビウム
115 Mc	モスコビウム
116 Lv	リバモリウム
117 Ts	テネシン
118 Og	オガネソン