Sc	すかんじうむ
V	ばなじうむ
Ga	がりうむ
Ge	げるまにうむ
As	ひそ
Se	せれん
Kr	くりぷとん
Rb	るびじうむ
Sr	すとろんちうむ
Y	いっとりうむ
Zr	じるこにうむ
Nb	におぶ
Mo	もりぶでん
Tc	てくねちうむ
Ru	るてにうむ
Rh	ろじうむ
Pd	ぱらじうむ
Cd	かどみうむ
In	いんじうむ
Sb	あんちもん
Te	てるる
Xe	きせのん
Cs	せしうむ
La	らんたん
Ce	せりうむ
Pr	ぷらせおじむ
Nd	ねおじうむ
Pm	ぷろめちうむ
Sm	さまりうむ
Eu	ゆうろぴうむ
Gd	がどりにうむ
Tb	てるびうむ
Dy	じすぷろしうむ
Ho	ほるみうむ
Er	えるびうむ
Tm	つりうむ
Yb	いってるびうむ
Lu	るてちうむ
Hf	はふにうむ
Ta	たんたる
W	たんぐすてん
Re	れにうむ
Os	おすみうむ
Ir	いりじうむ
Tl	たりうむ
Bi	びすます
Po	ぽろにうむ
At	あすたちん
Rn	らどん
Fr	ふらんしうむ
Ra	らじうむ
Ac	あくちにうむ
Th	とりうむ
Pa	ぷろとあくちにうむ
Np	ねぷつにうむ
Am	あめりしうむ
Cm	きゅりうむ
Bk	ばーくりうむ
Cf	かりほるにうむ
Es	あいんすたいにうむ
Fm	ふぇるみうむ
Md	めんでれびうむ
No	のーべりうむ
Lr	ろーれんしうむ
Rf	らざほーじうむ
Db	どぶにうむ
Sg	しーぼーぎうむ
Bh	ぼーりうむ
Hs	はっしうむ
Mt	まいとねりうむ
Ds	だーむすたちうむ
Rg	れんとげにうむ
Cn	こぺるにしうむ
Fl	ふれろびうむ
Mc	もすこびうむ
Lv	りばもりうむ
Ts	てねしん
Og	おがねそん