アイスランド	あいすらんど
アイルランド	あいるらんど
アルバニア	あるばにあ
アンドラ	あんどら
イギリス	いぎりす
イタリア	いたりあ
ウクライナ	うくらいな
エストニア	えすとにあ
オーストリア	おーすとりあ
オランダ	おらんだ
ギリシャ	ぎりしゃ
クロアチア	くろあちあ
サンマリノ	さんまりの
スイス	すいす
スウェーデン	すうぇーでん
スペイン	すぺいん
スロバキア	すろばきあ
セルビア	せるびあ
チェコ	ちぇこ
デンマーク	でんまーく
ドイツ	どいつ
トルコ	とるこ
ノルウェー	のるうぇー
バチカン	ばちかん
ハンガリー	はんがりー
フィンランド	ふぃんらんど
フランス	ふらんす
ブルガリア	ぶるがりあ
ベラルーシ	べらるーし
ベルギー	べるぎー
ポーランド	ぽーらんど
ボスニア・ヘルツェゴビナ	ぼすにあ・へるつぇごびな
ポルトガル	ぽるとがる
マケドニア	まけどにあ
マルタ	まるた
モナコ	もなこ
モルドバ	もるどば
モンテネグロ	もんてねぐろ
ラトビア	らとびあ
リトアニア	りとあにあ
リヒテンシュタイン	りひてんしゅたいん
ルーマニア	るーまにあ
ルクセンブルク	るくせんぶるく
ロシア	ろしあ